# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/13/24 12:33:12.735196 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.29596,0.05962,0.33642 -0.03278,-0.21405,0.96472 0.17100,0.28350,-0.38850 0.29596,0.05962,0.33642 -0.03278,-0.21405,0.96472 0.16965,0.28398,-0.38864 0.07157,-0.05117,-0.26867
06/13/24 12:33:12.773856 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.20867,0.03726,0.53125 -0.03754,-0.16272,0.93268 0.16650,0.27750,-0.37950 0.20867,0.03726,0.53125 -0.03754,-0.16272,0.93268 0.16555,0.27672,-0.37989 0.09571,-0.08775,-0.23753
06/13/24 12:33:12.817259 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.00532,-0.02555,0.52592 0.01373,-0.24854,0.98718 0.16200,0.27000,-0.38550 -0.00532,-0.02555,0.52592 0.01373,-0.24854,0.98718 0.16255,0.27062,-0.38594 0.00417,-0.01531,-0.25858
06/13/24 12:33:12.855933 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.36942,-0.09262,0.80911 0.05005,-0.02002,0.99744 0.16650,0.25950,-0.38850 0.36942,-0.09262,0.80911 0.05005,-0.02002,0.99744 0.16651,0.26026,-0.38805 0.15741,-0.01803,-0.09354
06/13/24 12:33:12.899518 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.08091,0.02981,0.52060 0.06177,-0.18146,0.93329 0.16650,0.25350,-0.38250 0.08091,0.02981,0.52060 0.06177,-0.18146,0.93329 0.16436,0.25371,-0.38637 0.00566,-0.06243,-0.16940
06/13/24 12:33:12.938022 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.02449,-0.06920,0.39391 0.00354,-0.18597,0.96051 0.16650,0.24900,-0.38250 0.02449,-0.06920,0.39391 0.00354,-0.18597,0.96051 0.16636,0.24866,-0.38312 0.03648,-0.04765,-0.22109
06/13/24 12:33:12.982066 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.19483,-0.15437,0.66965 0.01630,-0.20837,0.93878 0.15900,0.24150,-0.39000 0.19483,-0.15437,0.66965 0.01630,-0.20837,0.93878 0.16031,0.24354,-0.38847 0.00452,-0.06423,-0.22207
06/13/24 12:33:13.020235 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.05536,-0.19270,0.58022 0.00513,-0.14001,0.94635 0.16500,0.22950,-0.39000 0.05536,-0.19270,0.58022 0.00513,-0.14001,0.94635 0.16629,0.23236,-0.38964 0.06321,-0.06685,-0.20112
06/13/24 12:33:13.064140 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.67710,-0.20334,0.96348 0.09332,-0.20313,1.01599 0.16500,0.22500,-0.39000 0.67710,-0.20334,0.96348 0.09332,-0.20313,1.01599 0.16129,0.22833,-0.39026 -0.03103,0.02419,-0.17965
06/13/24 12:33:13.102359 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.10220,-0.07239,0.45246 0.05731,-0.13379,1.04010 0.15750,0.21000,-0.39300 0.10220,-0.07239,0.45246 0.05731,-0.13379,1.04010 0.15995,0.20822,-0.39335 0.03618,0.03228,-0.18996
06/13/24 12:33:13.146251 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.15863,-0.05642,0.46950 -0.51123,-0.13763,1.36768 0.16350,0.20400,-0.39150 0.15863,-0.05642,0.46950 -0.51123,-0.13763,1.36768 0.16385,0.20481,-0.39197 0.32192,0.22096,-0.74597
06/13/24 12:33:13.184931 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.50995,-0.10859,0.29277 0.03284,-0.16168,0.87878 0.16200,0.19350,-0.40050 0.50995,-0.10859,0.29277 0.03284,-0.16168,0.87878 0.16235,0.19456,-0.39805 -0.03582,-0.13153,-0.20964
06/13/24 12:33:13.228365 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.27574,0.03833,0.84744 0.06824,-0.07776,1.09271 0.15150,0.18300,-0.39900 0.27574,0.03833,0.84744 0.06824,-0.07776,1.09271 0.15295,0.18307,-0.39896 0.03772,0.08118,-0.18532
06/13/24 12:33:13.267058 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.25019,0.10646,0.41627 -0.01215,-0.09631,1.01154 0.15750,0.17250,-0.39150 0.25019,0.10646,0.41627 -0.01215,-0.09631,1.01154 0.15745,0.17411,-0.39138 0.02871,-0.01479,-0.24731
06/13/24 12:33:13.310514 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.36836,0.60151,-0.07452 0.01843,0.01025,0.82123 0.16050,0.16500,-0.39300 0.36836,0.60151,-0.07452 0.01843,0.01025,0.82123 0.16074,0.16745,-0.39223 0.07775,-0.19351,-0.13560
06/13/24 12:33:13.349231 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.40881,-0.03620,0.00106 0.08649,-0.02942,0.81201 0.16200,0.15300,-0.39000 0.40881,-0.03620,0.00106 0.08649,-0.02942,0.81201 0.16558,0.15336,-0.38860 0.00251,-0.18818,-0.09304
