# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/24/24 13:44:23.105684 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.14585,0.09049,-0.54189 -0.25275,-0.28442,0.95831 0.08850,0.26700,-0.48300 0.14585,0.09049,-0.54189 -0.25275,-0.28442,0.95831 0.08972,0.26766,-0.48367 0.05840,0.01673,-0.16123
06/24/24 13:44:23.150114 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.11711,-0.03087,-0.29383 -0.23907,-0.21576,0.96564 0.09000,0.26850,-0.48450 0.11711,-0.03087,-0.29383 -0.23907,-0.21576,0.96564 0.09045,0.26683,-0.48370 0.04817,0.01252,-0.09300
06/24/24 13:44:23.193802 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.06707,-0.08304,-0.19376 -0.16760,-0.24158,0.93750 0.08400,0.27000,-0.48900 -0.06707,-0.08304,-0.19376 -0.16760,-0.24158,0.93750 0.08786,0.27201,-0.48506 -0.01592,-0.02512,-0.12131
06/24/24 13:44:23.238112 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.07452,-0.05004,-0.15650 -0.17114,-0.23779,0.88715 0.08100,0.27600,-0.49050 -0.07452,-0.05004,-0.15650 -0.17114,-0.23779,0.88715 0.08245,0.27457,-0.48652 0.00254,-0.07326,-0.11839
06/24/24 13:44:23.282599 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.11711,-0.00106,-0.07878 -0.15454,-0.22217,0.93231 0.07350,0.28350,-0.48600 -0.11711,-0.00106,-0.07878 -0.15454,-0.22217,0.93231 0.07912,0.27840,-0.48663 -0.02108,-0.03403,-0.09438
06/24/24 13:44:23.326307 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.10646,-0.00106,-0.09795 -0.13434,-0.31012,0.97882 0.08100,0.28650,-0.48300 -0.10646,-0.00106,-0.09795 -0.13434,-0.31012,0.97882 0.07998,0.28168,-0.48362 -0.04890,0.02030,-0.17001
06/24/24 13:44:23.370617 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.03939,-0.11604,-0.27999 -0.16559,-0.34106,0.95618 0.07650,0.28350,-0.48750 0.03939,-0.11604,-0.27999 -0.16559,-0.34106,0.95618 0.07797,0.28304,-0.48764 -0.00594,0.00941,-0.19765
06/24/24 13:44:23.415012 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.29277,-0.01384,-0.38539 -0.16400,-0.25531,0.96210 0.06750,0.28350,-0.48300 0.29277,-0.01384,-0.38539 -0.16400,-0.25531,0.96210 0.07099,0.28384,-0.48443 0.00154,0.00298,-0.10830
06/24/24 13:44:23.458712 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.27041,-0.02662,-0.25231 -0.20319,-0.17700,0.98236 0.06300,0.27900,-0.48900 0.27041,-0.02662,-0.25231 -0.20319,-0.17700,0.98236 0.06683,0.28182,-0.48566 0.03902,0.01741,-0.03181
06/24/24 13:44:23.503208 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.13201,-0.10114,-0.05642 -0.17664,-0.16345,0.89520 0.06150,0.27900,-0.49500 0.13201,-0.10114,-0.05642 -0.17664,-0.16345,0.89520 0.06026,0.27964,-0.49163 0.02879,-0.07446,-0.04293
06/24/24 13:44:23.546898 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.00426,0.03087,-0.13521 -0.10077,-0.25629,0.93439 0.05700,0.28050,-0.49800 -0.00426,0.03087,-0.13521 -0.10077,-0.25629,0.93439 0.05905,0.27887,-0.49408 -0.04593,-0.03682,-0.13820
06/24/24 13:44:23.591158 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.17566,0.00745,-0.28638 -0.16260,-0.22772,0.97137 0.05700,0.28350,-0.49800 0.17566,0.00745,-0.28638 -0.16260,-0.22772,0.97137 0.05749,0.27971,-0.49538 0.01039,0.00570,-0.10165
06/24/24 13:44:23.635553 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.13521,0.02768,-0.27361 -0.15594,-0.19482,0.95636 0.04350,0.27600,-0.49800 0.13521,0.02768,-0.27361 -0.15594,-0.19482,0.95636 0.05189,0.27984,-0.49690 0.00745,-0.01444,-0.07431
